displacement,cylinders,horsepower,weight,acceleration,model_year,origin,mpg
307.0,8,130.0,3504,12.0,70,1,18.0
350.0,8,165.0,3693,11.5,70,1,15.0
318.0,8,150.0,3436,11.0,70,1,18.0
304.0,8,150.0,3433,12.0,70,1,16.0
302.0,8,140.0,3449,10.5,70,1,17.0
429.0,8,198.0,4341,10.0,70,1,15.0
454.0,8,220.0,4354,9.0,70,1,14.0
440.0,8,215.0,4312,8.5,70,1,14.0
455.0,8,225.0,4425,10.0,70,1,14.0
390.0,8,190.0,3850,8.5,70,1,15.0
383.0,8,170.0,3563,10.0,70,1,15.0
340.0,8,160.0,3609,8.0,70,1,14.0
400.0,8,150.0,3761,9.5,70,1,15.0
455.0,8,225.0,3086,10.0,70,1,14.0
113.0,4,95.0,2372,15.0,70,3,24.0
198.0,6,95.0,2833,15.5,70,1,22.0
199.0,6,97.0,2774,15.5,70,1,18.0
200.0,6,85.0,2587,16.0,70,1,21.0
97.0,4,88.0,2130,14.5,70,3,27.0
97.0,4,46.0,1835,20.5,70,2,26.0
110.0,4,87.0,2672,17.5,70,2,25.0
107.0,4,90.0,2430,14.5,70,2,24.0
104.0,4,95.0,2375,17.5,70,2,25.0
121.0,4,113.0,2234,12.5,70,2,26.0
199.0,6,90.0,2648,15.0,70,1,21.0
360.0,8,215.0,4615,14.0,70,1,10.0
307.0,8,200.0,4376,15.0,70,1,10.0
318.0,8,210.0,4382,13.5,70,1,11.0
304.0,8,193.0,4732,18.5,70,1,9.0
97.0,4,88.0,2130,14.5,71,3,27.0
140.0,4,90.0,2264,15.5,71,1,28.0
113.0,4,95.0,2228,14.0,71,3,25.0
98.0,4,,2046,19.0,71,1,25.0
232.0,6,100.0,2634,13.0,71,1,19.0
225.0,6,105.0,3439,15.5,71,1,16.0
250.0,6,100.0,3329,15.5,71,1,17.0
250.0,6,88.0,3302,15.5,71,1,19.0
232.0,6,100.0,3288,15.5,71,1,18.0
350.0,8,165.0,4209,12.0,71,1,14.0
400.0,8,175.0,4464,11.5,71,1,14.0
351.0,8,153.0,4154,13.5,71,1,14.0
318.0,8,150.0,4096,13.0,71,1,14.0
383.0,8,180.0,4955,11.5,71,1,12.0
400.0,8,170.0,4746,12.0,71,1,13.0
400.0,8,175.0,5140,12.0,71,1,13.0
258.0,6,110.0,2962,13.5,71,1,18.0
140.0,4,72.0,2408,19.0,71,1,22.0
250.0,6,100.0,3282,15.0,71,1,19.0
250.0,6,88.0,3139,14.5,71,1,18.0
122.0,4,86.0,2220,14.0,71,1,23.0
116.0,4,90.0,2123,14.0,71,2,28.0
79.0,4,70.0,2074,19.5,71,2,30.0
88.0,4,76.0,2065,14.5,71,2,30.0
71.0,4,65.0,1773,19.0,71,3,31.0
72.0,4,69.0,1613,18.0,71,3,35.0
97.0,4,60.0,1834,19.0,71,2,27.0
91.0,4,70.0,1955,20.5,71,1,26.0
113.0,4,95.0,2278,15.5,72,3,24.0
97.5,4,80.0,2126,17.0,72,1,25.0
97.0,4,54.0,2254,23.5,72,2,23.0
140.0,4,90.0,2408,19.5,72,1,20.0
122.0,4,86.0,2226,16.5,72,1,21.0
350.0,8,165.0,4274,12.0,72,1,13.0
400.0,8,175.0,4385,12.0,72,1,14.0
318.0,8,150.0,4135,13.5,72,1,15.0
351.0,8,153.0,4129,13.0,72,1,14.0
304.0,8,150.0,3672,11.5,72,1,17.0
429.0,8,208.0,4633,11.0,72,1,11.0
350.0,8,155.0,4502,13.5,72,1,13.0
350.0,8,160.0,4456,13.5,72,1,12.0
400.0,8,190.0,4422,12.5,72,1,13.0
70.0,3,97.0,2330,13.5,72,3,19.0
304.0,8,150.0,3892,12.5,72,1,15.0
307.0,8,130.0,4098,14.0,72,1,13.0
302.0,8,140.0,4294,16.0,72,1,13.0
318.0,8,150.0,4077,14.0,72,1,14.0
121.0,4,112.0,2933,14.5,72,2,18.0
121.0,4,76.0,2511,18.0,72,2,22.0
120.0,4,87.0,2979,19.5,72,2,21.0
96.0,4,69.0,2189,18.0,72,2,26.0
122.0,4,86.0,2395,16.0,72,1,22.0
97.0,4,92.0,2288,17.0,72,3,28.0
120.0,4,97.0,2506,14.5,72,3,23.0
98.0,4,80.0,2164,15.0,72,1,28.0
97.0,4,88.0,2100,16.5,72,3,27.0
350.0,8,175.0,4100,13.0,73,1,13.0
304.0,8,150.0,3672,11.5,73,1,14.0
350.0,8,145.0,3988,13.0,73,1,13.0
302.0,8,137.0,4042,14.5,73,1,14.0
318.0,8,150.0,3777,12.5,73,1,15.0
429.0,8,198.0,4952,11.5,73,1,12.0
400.0,8,150.0,4464,12.0,73,1,13.0
351.0,8,158.0,4363,13.0,73,1,13.0
318.0,8,150.0,4237,14.5,73,1,14.0
440.0,8,215.0,4735,11.0,73,1,13.0
455.0,8,225.0,4951,11.0,73,1,12.0
360.0,8,175.0,3821,11.0,73,1,13.0
225.0,6,105.0,3121,16.5,73,1,18.0
250.0,6,100.0,3278,18.0,73,1,16.0
232.0,6,100.0,2945,16.0,73,1,18.0
250.0,6,88.0,3021,16.5,73,1,18.0
198.0,6,95.0,2904,16.0,73,1,23.0
97.0,4,46.0,1950,21.0,73,2,26.0
400.0,8,150.0,4997,14.0,73,1,11.0
400.0,8,167.0,4906,12.5,73,1,12.0
360.0,8,170.0,4654,13.0,73,1,13.0
350.0,8,180.0,4499,12.5,73,1,12.0
232.0,6,100.0,2789,15.0,73,1,18.0
97.0,4,88.0,2279,19.0,73,3,20.0
140.0,4,72.0,2401,19.5,73,1,21.0
108.0,4,94.0,2379,16.5,73,3,22.0
70.0,3,90.0,2124,13.5,73,3,18.0
122.0,4,85.0,2310,18.5,73,1,19.0
155.0,6,107.0,2472,14.0,73,1,21.0
98.0,4,90.0,2265,15.5,73,2,26.0
350.0,8,145.0,4082,13.0,73,1,15.0
400.0,8,230.0,4278,9.5,73,1,16.0
68.0,4,49.0,1867,19.5,73,2,29.0
116.0,4,75.0,2158,15.5,73,2,24.0
114.0,4,91.0,2582,14.0,73,2,20.0
121.0,4,112.0,2868,15.5,73,2,19.0
318.0,8,150.0,3399,11.0,73,1,15.0
121.0,4,110.0,2660,14.0,73,2,24.0
156.0,6,122.0,2807,13.5,73,3,20.0
350.0,8,180.0,3664,11.0,73,1,11.0
198.0,6,95.0,3102,16.5,74,1,20.0
200.0,6,,2875,17.0,74,1,21.0
232.0,6,100.0,2901,16.0,74,1,19.0
250.0,6,100.0,3336,17.0,74,1,15.0
79.0,4,67.0,1950,19.0,74,3,31.0
122.0,4,80.0,2451,16.5,74,1,26.0
71.0,4,65.0,1836,21.0,74,3,32.0
140.0,4,75.0,2542,17.0,74,1,25.0
250.0,6,100.0,3781,17.0,74,1,16.0
258.0,6,110.0,3632,18.0,74,1,16.0
225.0,6,105.0,3613,16.5,74,1,18.0
302.0,8,140.0,4141,14.0,74,1,16.0
350.0,8,150.0,4699,14.5,74,1,13.0
318.0,8,150.0,4457,13.5,74,1,14.0
302.0,8,140.0,4638,16.0,74,1,14.0
304.0,8,150.0,4257,15.5,74,1,14.0
98.0,4,83.0,2219,16.5,74,2,29.0
79.0,4,67.0,1963,15.5,74,2,26.0
97.0,4,78.0,2300,14.5,74,2,26.0
76.0,4,52.0,1649,16.5,74,3,31.0
83.0,4,61.0,2003,19.0,74,3,32.0
90.0,4,75.0,2125,14.5,74,1,28.0
90.0,4,75.0,2108,15.5,74,2,24.0
116.0,4,75.0,2246,14.0,74,2,26.0
120.0,4,97.0,2489,15.0,74,3,24.0
108.0,4,93.0,2391,15.5,74,3,26.0
79.0,4,67.0,2000,16.0,74,2,31.0
225.0,6,95.0,3264,16.0,75,1,19.0
250.0,6,105.0,3459,16.0,75,1,18.0
250.0,6,72.0,3432,21.0,75,1,15.0
250.0,6,72.0,3158,19.5,75,1,15.0
400.0,8,170.0,4668,11.5,75,1,16.0
350.0,8,145.0,4440,14.0,75,1,15.0
318.0,8,150.0,4498,14.5,75,1,16.0
351.0,8,148.0,4657,13.5,75,1,14.0
231.0,6,110.0,3907,21.0,75,1,17.0
250.0,6,105.0,3897,18.5,75,1,16.0
258.0,6,110.0,3730,19.0,75,1,15.0
225.0,6,95.0,3785,19.0,75,1,18.0
231.0,6,110.0,3039,15.0,75,1,21.0
262.0,8,110.0,3221,13.5,75,1,20.0
302.0,8,129.0,3169,12.0,75,1,13.0
97.0,4,75.0,2171,16.0,75,3,29.0
140.0,4,83.0,2639,17.0,75,1,23.0
232.0,6,100.0,2914,16.0,75,1,20.0
140.0,4,78.0,2592,18.5,75,1,23.0
134.0,4,96.0,2702,13.5,75,3,24.0
90.0,4,71.0,2223,16.5,75,2,25.0
119.0,4,97.0,2545,17.0,75,3,24.0
171.0,6,97.0,2984,14.5,75,1,18.0
90.0,4,70.0,1937,14.0,75,2,29.0
232.0,6,90.0,3211,17.0,75,1,19.0
115.0,4,95.0,2694,15.0,75,2,23.0
120.0,4,88.0,2957,17.0,75,2,23.0
121.0,4,98.0,2945,14.5,75,2,22.0
121.0,4,115.0,2671,13.5,75,2,25.0
91.0,4,53.0,1795,17.5,75,3,33.0
107.0,4,86.0,2464,15.5,76,2,28.0
116.0,4,81.0,2220,16.9,76,2,25.0
140.0,4,92.0,2572,14.9,76,1,25.0
98.0,4,79.0,2255,17.7,76,1,26.0
101.0,4,83.0,2202,15.3,76,2,27.0
